institution_id,institution_name,state_code,state_name,county,nces_locale,level,control,title_i_status,total_enrollment,number_of_teachers,student_teacher_ratio,percent_free_reduced_lunch,racial_white_pct,racial_black_pct,racial_hispanic_pct,racial_asian_pct,racial_native_pct,racial_two_or_more_pct,special_education_pct,english_learner_pct,per_pupil_expenditure_usd,federal_funding_pct,state_funding_pct,local_funding_pct,math_proficiency_pct,reading_proficiency_pct,graduation_rate_pct,chronic_absenteeism_pct,avg_sat_score,avg_act_score,ap_ib_participation_pct,postsecondary_enrollment_pct,stem_certified_flag,broadband_access_pct
US-EDU-10001,Jefferson Elementary School,MA,Massachusetts,Central County,Suburban - Midsize,Elementary School,Public,Title I Schoolwide,447,30,14.8,48.9,70.9,2.4,15.4,8.1,0.1,3.1,14.4,12.9,12840,15.0,54.8,30.2,58.3,58.1,80.9,18.0,,,,,No,91.6
US-EDU-10002,Lakeshore Middle School,FL,Florida,Miami-Dade County,Suburban - Midsize,Middle School,Private Religious,Not Applicable,293,29,10.0,1.2,34.7,8.6,36.1,13.3,1.3,6.0,13.7,19.3,17009,0.0,2.0,98.0,84.8,98.0,93.5,17.8,,,,,No,94.4
US-EDU-10003,Meadowbrook Elementary Academy,TX,Texas,Bexar County,City - Large,Elementary School,Private For-Profit,Not Applicable,315,17,18.2,36.0,26.2,29.2,22.9,12.3,1.9,7.5,15.7,11.3,15374,10.7,55.5,33.8,54.6,66.2,80.2,19.5,,,,,No,94.0
US-EDU-10004,Roosevelt Primary School,FL,Florida,Palm Beach County,Suburban - Large,Elementary School,Public,Not Title I Eligible,389,34,11.3,15.1,49.2,16.7,4.3,26.4,0.1,3.3,13.8,9.8,17065,6.8,38.3,54.9,66.1,70.5,82.1,20.5,,,,,No,96.4
US-EDU-10005,Highland Park Primary School,MI,Michigan,Macomb County,Suburban - Large,Elementary School,Public,Title I Targeted,397,29,13.9,45.6,78.1,3.2,8.0,3.9,2.1,4.7,19.8,5.3,16823,15.0,42.3,42.7,54.6,46.7,90.2,19.9,,,,,No,86.3
US-EDU-10006,Highland Park Elementary Academy,TX,Texas,Denton County,Town - Distant,Elementary School,Public,Title I Schoolwide,173,15,11.4,61.3,75.5,4.2,10.6,3.3,2.7,3.7,13.1,6.3,15774,14.7,48.3,37.0,47.4,65.4,82.0,27.3,,,,,No,86.8
US-EDU-10007,Jefferson Academy,WA,Washington,Franklin County,Town - Fringe,High School,Public,Title I Targeted,250,19,13.2,60.2,76.9,11.4,8.2,2.0,0.7,0.8,15.3,6.6,14485,15.0,50.5,34.5,63.0,63.5,88.7,10.7,1281,26.5,28.5,67.1,Yes,88.0
US-EDU-10008,Lakeshore Elementary School,OH,Ohio,Butler County,City - Large,Elementary School,Public,Title I Schoolwide,369,21,17.7,60.7,10.1,25.5,59.0,3.0,0.1,2.3,15.2,25.5,19943,14.8,30.0,55.2,59.6,58.4,72.6,21.9,,,,,No,89.1
US-EDU-10009,Crestview High School,TX,Texas,Fort Bend County,City - Large,High School,Public,Title I Schoolwide,1055,82,12.8,49.2,5.5,25.4,41.1,20.0,1.4,6.6,12.1,19.2,14508,17.0,55.9,27.1,86.5,64.6,88.1,21.6,1220,28.2,36.5,58.5,No,92.7
US-EDU-10010,Eisenhower High School,MO,Missouri,Marion County,Rural - Remote,High School,Public,Title I Schoolwide,1813,108,16.8,51.8,70.9,13.2,8.3,4.6,0.8,2.2,11.7,4.3,9930,14.5,48.5,37.0,41.6,55.3,90.4,22.7,1139,22.9,23.6,53.7,No,90.4
US-EDU-10011,Franklin Academy,IA,Iowa,Jefferson County,Suburban - Large,High School,Public,Title I Targeted,1110,65,17.1,49.1,60.4,1.9,25.8,6.0,1.2,4.7,14.9,6.4,13061,15.4,59.0,25.6,87.5,61.7,92.1,7.8,1366,27.5,28.5,85.0,No,93.2
US-EDU-10012,Highland Park Grade School,NY,New York,Queens County,Suburban - Large,Elementary School,Public,Title I Targeted,273,23,11.7,65.0,47.7,24.1,10.3,10.4,3.0,4.5,11.0,11.1,13423,12.3,44.8,42.9,54.5,50.7,70.0,15.0,,,,,Yes,85.0
